"","veh_value","exposure","clm","numclaims","claimcst0","veh_body","veh_age","gender","area","agecat","X_OBSTAT_"
"36992",2.25,0.9089664613,"1",1,4942.5099945,"SEDAN",2,"F","E","4","01101    0    0    0"
"36993",2.61,0.9089664613,"1",1,794.77999878,"SEDAN",2,"M","C","4","01101    0    0    0"
"37002",1.83,0.6954140999,"1",1,2774.8799973,"STNWG",3,"M","E","3","01101    0    0    0"
"37003",1.05,0.6789869952,"1",1,2236.6499977,"SEDAN",4,"M","B","2","01101    0    0    0"
"37020",0.72,0.9609856263,"1",1,717.23999023,"HBACK",4,"F","C","2","01101    0    0    0"
"37021",2.18,0.9363449692,"1",1,394.42999983,"HBACK",3,"F","B","3","01101    0    0    0"
"37048",1,0.7857631759,"1",1,200,"HBACK",3,"F","A","4","01101    0    0    0"
"37058",0.74,0.0109514031,"1",1,4974.8099976,"SEDAN",4,"F","E","5","01101    0    0    0"
"37076",0.31,0.0547570157,"1",1,200,"HBACK",4,"F","C","2","01101    0    0    0"
"37083",1.44,0.59137577,"1",1,379.14999962,"UTE",3,"M","C","1","01101    0    0    0"
"37097",1.03,0.1916495551,"1",1,200,"SEDAN",3,"F","C","5","01101    0    0    0"
"37109",2.11,0.295687885,"1",1,200,"SEDAN",2,"M","C","6","01101    0    0    0"
"37146",0.85,0.6324435318,"1",1,890.44999886,"HBACK",4,"M","A","2","01101    0    0    0"
"37153",1.71,0.4079397673,"1",1,200,"SEDAN",2,"F","C","2","01101    0    0    0"
"37183",4,0.6954140999,"1",1,950.86999702,"STNWG",2,"M","E","1","01101    0    0    0"
"37187",1.399,0.9993155373,"1",2,582.6899997,"HBACK",1,"F","A","3","01101    0    0    0"
"37230",0.65,0.4818617385,"1",2,400,"SEDAN",4,"M","C","4","01101    0    0    0"
"37238",4.349,0.5968514716,"1",1,200,"UTE",1,"M","B","3","01101    0    0    0"
"37270",3.162,0.9664613279,"1",1,1317.4399986,"UTE",1,"M","B","5","01101    0    0    0"
"37306",2.15,0.6954140999,"1",1,969.12817764,"SEDAN",2,"F","A","2","01101    0    0    0"
"37310",0.95,0.6954140999,"1",1,200,"HBACK",3,"F","C","4","01101    0    0    0"
"37312",6.6,0.4982888433,"1",1,369.14999962,"STNWG",1,"M","C","4","01101    0    0    0"
"37336",0.87,0.6023271732,"1",1,3429.109993,"HBACK",3,"F","A","1","01101    0    0    0"
"37346",1.33,0.4079397673,"1",1,3518.2699966,"SEDAN",2,"F","D","4","01101    0    0    0"
"37358",1.349,0.6324435318,"1",2,3074.8099976,"HBACK",1,"F","C","4","01101    0    0    0"
"37360",2.8,0.6324435318,"1",1,3336.6899948,"SEDAN",3,"M","C","4","01101    0    0    0"
"37387",0.5,0.6844626968,"1",1,1446.1299973,"SEDAN",4,"F","A","2","01101    0    0    0"
"37389",1.26,0.052019165,"1",1,389.94999981,"HBACK",1,"F","E","5","01101    0    0    0"
"37395",2.53,0.6954140999,"1",1,703.20999908,"UTE",3,"M","D","4","01101    0    0    0"
"37447",1.43,0.6926762491,"1",1,200,"UTE",3,"M","C","1","01101    0    0    0"
"37461",2.42,0.93908282,"1",1,465,"UTE",3,"M","E","2","01101    0    0    0"
"37475",3.51,0.7255304586,"1",1,353.76999998,"UTE",1,"M","B","6","01101    0    0    0"
"37477",1.5,0.0301163587,"1",1,532.75,"SEDAN",2,"F","C","3","01101    0    0    0"
"37488",1.02,0.7227926078,"1",1,389.94999981,"UTE",3,"M","D","5","01101    0    0    0"
"37521",0.37,0.2710472279,"1",1,1058.1699982,"SEDAN",4,"M","C","4","01101    0    0    0"
"37541",0.7,0.0985626283,"1",1,22216.089905,"PANVN",4,"M","C","5","01101    0    0    0"
"37546",1.02,0.2710472279,"1",1,2289.1499939,"SEDAN",3,"F","A","3","01101    0    0    0"
"37568",1.38,0.2737850787,"1",1,2301.0136337,"SEDAN",3,"M","C","6","01101    0    0    0"
"37583",0.71,0.2765229295,"1",1,3403.4699936,"SEDAN",4,"F","D","5","01101    0    0    0"
"37591",1.22,0.7255304586,"1",1,390,"HDTOP",4,"M","D","2","01101    0    0    0"
"37617",1.83,0.7282683094,"1",1,484,"STNWG",4,"F","E","5","01101    0    0    0"
"37618",1.13,0.5311430527,"1",1,367.72999954,"STNWG",4,"M","B","4","01101    0    0    0"
"37697",0.69,0.4791238877,"1",1,369.14999962,"HBACK",3,"F","C","3","01101    0    0    0"
"37727",3.199,0.6598220397,"1",1,1332.4399986,"STNWG",1,"M","A","6","01101    0    0    0"
"37741",1.71,0.7282683094,"1",1,200,"SEDAN",2,"F","C","1","01101    0    0    0"
"37751",1.3,0.2737850787,"1",1,2186.6799965,"SEDAN",3,"F","D","6","01101    0    0    0"
"37760",0.68,0.8350444901,"1",1,200,"SEDAN",4,"M","C","3","01101    0    0    0"
"37775",2.16,0.7255304586,"1",1,1260.3099976,"STNWG",2,"F","B","4","01101    0    0    0"
"37780",2.5,0.9226557153,"1",2,2364.1799965,"HDTOP",3,"M","F","1","01101    0    0    0"
"37802",1.18,0.8350444901,"1",1,3532.6799927,"HBACK",2,"F","B","1","01101    0    0    0"
"37812",0.39,0.4599589322,"1",1,405.07999992,"SEDAN",4,"M","C","5","01101    0    0    0"
"37845",0.44,0.5393566051,"1",1,353.76999998,"SEDAN",4,"M","B","3","01101    0    0    0"
"37849",2.23,0.5393566051,"1",1,1017.2699986,"STNWG",4,"M","A","2","01101    0    0    0"
"37869",1.47,0.5393566051,"1",1,353.79999971,"UTE",4,"M","B","1","01101    0    0    0"
"37875",2.37,0.4599589322,"1",1,1444.0299988,"MIBUS",3,"M","C","2","01101    0    0    0"
"37893",4,0.848733744,"1",1,389.94999981,"STNWG",3,"F","F","4","01101    0    0    0"
"37904",0.54,0.8569472964,"1",1,634.34999943,"HBACK",4,"F","B","1","01101    0    0    0"
"37962",1.36,0.5338809035,"1",1,2499.1699982,"SEDAN",2,"F","D","2","01101    0    0    0"
"37968",3.03,0.2929500342,"1",1,200,"SEDAN",2,"F","B","1","01101    0    0    0"
"37990",1.18,0.8323066393,"1",1,545.44999981,"HBACK",2,"F","B","1","01101    0    0    0"
"38021",2.04,0.6735112936,"1",1,560.64999962,"STNWG",3,"F","F","2","01101    0    0    0"
"38035",2.31,0.2327173169,"1",1,200,"HBACK",1,"F","B","1","01101    0    0    0"
"38048",0.66,0.4791238877,"1",1,821.01999855,"SEDAN",4,"F","C","4","01101    0    0    0"
"38083",0.98,0.0027378508,"1",1,8605.2999878,"SEDAN",3,"F","D","1","01101    0    0    0"
"38108",0.37,0.501026694,"1",1,200,"HBACK",4,"F","C","6","01101    0    0    0"
"38115",1.81,0.8323066393,"1",2,807.51999974,"SEDAN",2,"F","C","5","01101    0    0    0"
"38119",1.5,0.1368925394,"1",1,200,"SEDAN",2,"F","C","1","01101    0    0    0"
"38142",0.44,0.7310061602,"1",2,2133.3299961,"SEDAN",4,"F","B","6","01101    0    0    0"
"38173",0.73,0.6379192334,"1",1,876.44999886,"HBACK",4,"F","B","5","01101    0    0    0"
"38187",1.37,0.9308692676,"1",1,4192.0699997,"HBACK",1,"M","A","1","01101    0    0    0"
"38213",3.549,0.8459958932,"1",1,619.18999958,"STNWG",1,"M","F","4","01101    0    0    0"
"38218",1.07,0.5338809035,"1",1,200,"SEDAN",3,"F","C","4","01101    0    0    0"
"38223",2.02,0.6735112936,"1",1,369.17999983,"STNWG",3,"M","B","2","01101    0    0    0"
"38235",0.97,0.7529089665,"1",1,659.84999943,"SEDAN",3,"M","C","1","01101    0    0    0"
"38269",3.26,0.7556468172,"1",1,200,"STNWG",2,"F","E","5","01101    0    0    0"
"38281",2.01,0.5941136208,"1",2,743.07999969,"SEDAN",1,"F","E","4","01101    0    0    0"
"38295",2.84,0.7529089665,"1",1,1564.329998,"MIBUS",3,"F","A","3","01101    0    0    0"
"38305",1.36,0.4544832307,"1",1,941.86999702,"HBACK",2,"F","C","2","01101    0    0    0"
"38308",1.5,0.7556468172,"1",1,451.69999981,"HDTOP",4,"M","B","4","01101    0    0    0"
"38357",0.87,0.7529089665,"1",1,520.11999989,"HBACK",3,"F","B","3","01101    0    0    0"
"38368",3.96,0.6652977413,"1",1,760.76999855,"STNWG",1,"F","C","3","01101    0    0    0"
"38376",2.85,0.6598220397,"1",1,238.45000076,"SEDAN",1,"M","C","3","01101    0    0    0"
"38388",1.84,0.6735112936,"1",1,200,"MIBUS",4,"F","C","2","01101    0    0    0"
"38393",0.98,0.0492813142,"1",1,4939.3799896,"SEDAN",4,"M","C","4","01101    0    0    0"
"38452",1.2,0.2902121834,"1",1,200,"HBACK",1,"F","B","4","01101    0    0    0"
"38453",1.51,0.6899383984,"1",1,1291.6499977,"MIBUS",4,"F","C","3","01101    0    0    0"
"38455",2.34,0.4052019165,"1",1,625.21999931,"PANVN",2,"F","C","4","01101    0    0    0"
"38469",0.69,0.5941136208,"1",1,200,"COUPE",4,"M","B","3","01101    0    0    0"
"38470",2.2,0.9719370294,"1",1,345,"STNWG",4,"M","D","1","01101    0    0    0"
"38475",1.58,0.6707734428,"1",1,200,"HBACK",3,"F","C","2","01101    0    0    0"
"38483",2.31,0.3778234086,"1",2,19847.73996,"COUPE",2,"M","B","2","01101    0    0    0"
"38500",0.66,0.476386037,"1",1,6377.719986,"COUPE",4,"M","C","2","01101    0    0    0"
"38543",0.98,0.2354551677,"1",1,1977.2999992,"TRUCK",3,"M","E","3","01101    0    0    0"
"38551",6.38,0.6899383983,"1",1,1979.2199974,"STNWG",1,"F","B","3","01101    0    0    0"
"38556",4.73,0.7008898015,"1",2,774.75999928,"STNWG",1,"M","E","5","01101    0    0    0"
"38566",1.02,0.6899383984,"1",1,1580.1699982,"HBACK",4,"F","A","1","01101    0    0    0"
"38570",1.3,0.6735112936,"1",1,200,"HBACK",1,"M","A","3","01101    0    0    0"
"38579",1.41,0.1368925394,"1",1,1867.7899971,"HBACK",2,"F","C","3","01101    0    0    0"
"38605",1.08,0.7337440109,"1",1,389.94999981,"STNWG",4,"M","F","3","01101    0    0    0"
"38608",1,0.2655715263,"1",1,1756.5499992,"HBACK",3,"F","C","6","01101    0    0    0"
"38622",1.64,0.2655715263,"1",1,200,"SEDAN",2,"F","A","5","01101    0    0    0"
"38637",0.77,0.1368925394,"1",1,8267.0399933,"SEDAN",4,"F","B","2","01101    0    0    0"
"38640",0,0.9993155373,"1",1,527.12999821,"STNWG",4,"M","D","3","01101    0    0    0"
"38644",1.03,0.2655715263,"1",1,296.21999979,"SEDAN",3,"M","C","4","01101    0    0    0"
"38647",1.26,0.4544832307,"1",1,1079.1599998,"HBACK",2,"F","A","5","01101    0    0    0"
"38665",2.1,0.6899383984,"1",2,4081.5699959,"STNWG",3,"F","E","3","01101    0    0    0"
"38689",1.3,0.2655715263,"1",1,1791.3999977,"SEDAN",2,"F","F","1","01101    0    0    0"
"38705",1.54,0.3093771389,"1",1,335.81999969,"HBACK",3,"M","B","4","01101    0    0    0"
"38726",1.399,0.3915126626,"1",1,7377.1999969,"HBACK",1,"M","C","4","01101    0    0    0"
"38740",0.68,0.7501711157,"1",1,981.9299984,"HBACK",4,"F","C","4","01101    0    0    0"
"38741",6.02,0.6899383984,"1",1,3334.2199936,"STNWG",2,"F","C","3","01101    0    0    0"
"38758",4.7,0.7857631759,"1",1,1583.9799995,"STNWG",1,"M","F","4","01101    0    0    0"
"38763",0.54,0.7501711157,"1",1,930.91999817,"HBACK",4,"M","C","5","01101    0    0    0"
"38764",3.39,0.553045859,"1",1,963.01999855,"STNWG",3,"F","C","6","01101    0    0    0"
"38814",1.4,0.7501711157,"1",1,599.15999985,"UTE",3,"M","A","3","01101    0    0    0"
"38815",1.47,0.3449691992,"1",1,1883.2799988,"TRUCK",3,"M","C","3","01101    0    0    0"
"38831",0.95,0.7501711157,"1",1,3255.6399994,"HBACK",3,"M","E","5","01101    0    0    0"
"38834",2.06,0.7501711157,"1",1,810.34999847,"HBACK",3,"F","C","5","01101    0    0    0"
"38854",0.68,0.7501711157,"1",1,408.94999981,"HBACK",4,"F","E","5","01101    0    0    0"
"38869",2.36,0.7501711157,"1",1,3189.3499985,"STNWG",3,"F","C","3","01101    0    0    0"
"38876",0.87,0.1341546886,"1",1,816.69999123,"SEDAN",3,"M","C","4","01101    0    0    0"
"38879",2.15,0.7501711157,"1",1,819.6799984,"SEDAN",2,"F","C","3","01101    0    0    0"
"38895",4.53,0.5229295003,"1",1,837.33999825,"HDTOP",1,"M","C","5","01101    0    0    0"
"38916",1.34,0.643394935,"1",1,9288.6299744,"SEDAN",3,"F","C","3","01101    0    0    0"
"38933",1.38,0.1341546886,"1",1,2276.3899994,"HBACK",1,"M","A","4","01101    0    0    0"
"38950",2.299,0.9746748802,"1",1,256.98999977,"SEDAN",1,"M","C","4","01101    0    0    0"
"38980",2.01,0.5968514716,"1",1,4023.3099976,"SEDAN",1,"F","C","3","01101    0    0    0"
"38982",2.56,0.4024640657,"1",1,3190.5099945,"STNWG",3,"F","E","2","01101    0    0    0"
"38995",1.57,0.424366872,"1",1,1211.9699993,"SEDAN",2,"M","D","4","01101    0    0    0"
"39011",1.62,0.3559206023,"1",1,200,"HBACK",1,"M","A","6","01101    0    0    0"
"39021",2.13,0.5968514716,"1",1,200,"SEDAN",2,"F","D","5","01101    0    0    0"
"39035",3.16,0.4024640657,"1",1,523.42999935,"STNWG",2,"M","E","6","01101    0    0    0"
"39043",1.5,0.643394935,"1",1,866.5,"SEDAN",3,"M","E","2","01101    0    0    0"
"39070",0.65,0.2874743326,"1",1,1829.2699966,"UTE",4,"M","C","1","01101    0    0    0"
"39071",2.05,0.9993155373,"1",1,346.90999985,"PANVN",3,"M","A","1","01101    0    0    0"
"39074",2.25,0.643394935,"1",1,3837.6899948,"UTE",3,"M","D","4","01101    0    0    0"
"39080",0.59,0.0164271047,"1",1,5557.6199799,"UTE",4,"M","C","6","01101    0    0    0"
"39083",0.35,0.3559206023,"1",1,1363.4399986,"SEDAN",4,"M","A","3","01101    0    0    0"
"39094",1.63,0.2409308693,"1",1,389.94999981,"SEDAN",2,"F","E","3","01101    0    0    0"
"39095",1.47,0.6516084873,"1",1,1089.6699982,"SEDAN",2,"F","A","6","01101    0    0    0"
"39107",0.76,0.3148528405,"1",1,7014.7999725,"HBACK",3,"F","A","3","01101    0    0    0"
"39117",0.83,0.6872005476,"1",1,3114.2199936,"HBACK",3,"F","D","5","01101    0    0    0"
"39140",0.76,0.7474332649,"1",1,3091.9399948,"HBACK",3,"F","A","4","01101    0    0    0"
"39148",1.23,0.7474332649,"1",1,1248.8499985,"SEDAN",3,"M","A","4","01101    0    0    0"
"39159",0.93,0.6652977413,"1",1,7750.6899872,"COUPE",4,"F","C","1","01101    0    0    0"
"39179",5.99,0.6652977413,"1",1,383.31999969,"STNWG",2,"F","A","3","01101    0    0    0"
"39189",1.51,0.6844626968,"1",1,1722.2399979,"SEDAN",2,"F","B","3","01101    0    0    0"
"39192",3.43,0.3997262149,"1",1,390,"STNWG",3,"F","A","3","01101    0    0    0"
"39197",2.06,0.5256673511,"1",1,390.31999969,"SEDAN",3,"M","C","4","01101    0    0    0"
"39208",2.39,0.9746748802,"1",1,1377.9799995,"STNWG",3,"M","B","3","01101    0    0    0"
"39238",0.71,0.6652977413,"1",1,353.76999998,"STNWG",4,"M","D","3","01101    0    0    0"
"39259",0.4,0.6652977413,"1",1,200,"SEDAN",4,"M","B","3","01101    0    0    0"
"39267",4.74,0.6872005476,"1",1,6947.3199921,"STNWG",1,"M","C","2","01101    0    0    0"
"39276",1.5,0.6652977413,"1",1,1510.0899963,"HBACK",3,"F","C","3","01101    0    0    0"
"39285",11.54,0.9472963723,"1",1,10423.529999,"SEDAN",2,"F","C","3","01101    0    0    0"
"39286",2.5,0.6872005476,"1",1,1869.2599983,"HDTOP",1,"M","A","3","01101    0    0    0"
"39289",1.73,0.6652977413,"1",1,200,"HBACK",2,"F","C","3","01101    0    0    0"
"39290",1.3,0.1533196441,"1",1,872.52999878,"HBACK",1,"F","C","4","01101    0    0    0"
"39301",1.1,0.4599589322,"1",1,7144.5399628,"STNWG",4,"F","C","1","01101    0    0    0"
"39307",0.74,0.2819986311,"1",1,3036.0699921,"SEDAN",4,"F","C","2","01101    0    0    0"
"39324",1.86,0.1177275838,"1",1,47296.609863,"HBACK",1,"F","A","4","01101    0    0    0"
"39337",1.32,0.424366872,"1",1,1047.9299984,"SEDAN",3,"F","C","4","01101    0    0    0"
"39366",0.96,0.3997262149,"1",1,5521.5099945,"HBACK",3,"F","D","2","01101    0    0    0"
"39378",1.17,0.8240930869,"1",1,200,"SEDAN",3,"M","C","4","01101    0    0    0"
"39390",4.14,0.3805612594,"1",1,227.26999998,"STNWG",2,"M","F","3","01101    0    0    0"
"39405",0.99,0.2436687201,"1",1,200,"SEDAN",4,"F","B","4","01101    0    0    0"
"39407",2.299,0.6461327858,"1",2,3725,"SEDAN",1,"M","A","4","01101    0    0    0"
"39414",3.46,0.8815879535,"1",1,488.12999916,"UTE",1,"M","A","4","01101    0    0    0"
"39441",0.88,0.3531827515,"1",1,262.87999725,"COUPE",3,"F","B","3","01101    0    0    0"
"39455",1.32,0.6461327858,"1",1,359.5,"UTE",4,"F","C","3","01101    0    0    0"
"39478",3.51,0.9472963723,"1",1,353.79999971,"HDTOP",2,"M","A","2","01101    0    0    0"
"39498",0.83,0.9472963723,"1",1,353.76999998,"SEDAN",4,"F","D","3","01101    0    0    0"
"39517",1.27,0.5420944559,"1",1,200,"SEDAN",4,"F","B","5","01101    0    0    0"
"39589",1.12,0.4572210814,"1",1,5853.3599854,"STNWG",3,"F","D","2","01101    0    0    0"
"39600",2.28,0.9993155373,"1",1,1570.3399963,"HBACK",2,"F","C","1","01101    0    0    0"
"39602",1.78,0.0109514031,"1",1,17604.319946,"SEDAN",2,"F","C","3","01101    0    0    0"
"39626",1.22,0.9993155373,"1",1,1017.25,"HBACK",3,"M","A","2","01101    0    0    0"
"39635",1.03,0.4709103354,"1",1,200,"SEDAN",3,"M","A","3","01101    0    0    0"
"39640",1.64,0.4709103354,"1",1,200,"SEDAN",2,"F","B","5","01101    0    0    0"
"39652",2.62,0.9883641341,"1",1,3409.1499939,"STNWG",3,"M","A","4","01101    0    0    0"
"39669",1.77,0.2327173169,"1",1,12834.019958,"SEDAN",2,"F","C","1","01101    0    0    0"
"39676",3.78,0.8158795346,"1",1,200,"STNWG",1,"F","D","2","01101    0    0    0"
"39692",3.11,0.514715948,"1",1,426.5,"STNWG",3,"M","E","2","01101    0    0    0"
"39699",1.37,0.6762491444,"1",1,200,"HBACK",1,"F","B","3","01101    0    0    0"
"39702",1.76,0.8213552361,"1",1,200,"SEDAN",2,"M","C","6","01101    0    0    0"
"39707",0.36,0.0602327173,"1",1,9734.2299805,"HBACK",4,"M","C","3","01101    0    0    0"
"39712",1.05,0.6762491444,"1",1,7675.6799927,"HBACK",3,"F","B","3","01101    0    0    0"
"39716",2.7,0.6762491444,"1",1,6335.8599854,"STNWG",2,"F","B","3","01101    0    0    0"
"39717",1.87,0.3230663929,"1",1,353.76999998,"HBACK",2,"F","E","1","01101    0    0    0"
"39743",1.55,0.8213552361,"1",1,550.84999847,"HDTOP",4,"M","A","5","01101    0    0    0"
"39762",1.15,0.5448323066,"1",1,450,"SEDAN",3,"F","C","5","01101    0    0    0"
"39763",1.63,0.4544832307,"1",1,200,"HBACK",2,"F","A","6","01101    0    0    0"
"39765",2.19,0.9993155373,"1",3,5026.6299934,"TRUCK",4,"F","F","3","01101    0    0    0"
"39771",0.98,0.4544832307,"1",1,1209.539999,"SEDAN",4,"F","B","3","01101    0    0    0"
"39796",1.79,0.4681724846,"1",1,964,"SEDAN",2,"M","A","5","01101    0    0    0"
"39799",1.06,0.6598220397,"1",1,353.79999971,"HDTOP",4,"M","C","4","01101    0    0    0"
"39809",2.56,0.9801505818,"1",1,840.09999847,"SEDAN",1,"F","B","5","01101    0    0    0"
"39838",2.31,0.5065023956,"1",1,665.77000046,"SEDAN",1,"F","C","2","01101    0    0    0"
"39839",2.91,0.6762491444,"1",1,4641.6899872,"STNWG",1,"M","B","6","01101    0    0    0"
"39857",4.13,0.3942505133,"1",1,1873.7599983,"STNWG",2,"F","D","5","01101    0    0    0"
"39860",0.89,0.6023271732,"1",1,16222.949951,"HBACK",3,"F","C","4","01101    0    0    0"
"39871",0.75,0.4654346338,"1",1,4364.5418854,"SEDAN",4,"M","C","2","01101    0    0    0"
"39911",1.51,0.3148528405,"1",1,1299.6299973,"SEDAN",2,"F","B","1","01101    0    0    0"
"39919",1.06,0.052019165,"1",1,7804.3899841,"SEDAN",4,"F","B","5","01101    0    0    0"
"39921",0.72,0.1341546886,"1",1,987.8599987,"SEDAN",4,"F","B","4","01101    0    0    0"
"39945",0.8,0.7665982204,"1",1,1325.8999977,"HBACK",3,"F","A","1","01101    0    0    0"
"39952",0.88,0.7392197125,"1",1,345,"STNWG",4,"M","C","4","01101    0    0    0"
"39994",2.96,0.2628336756,"1",1,274.7099998,"STNWG",1,"F","C","3","01101    0    0    0"
"40061",4.75,0.2600958248,"1",1,749.54999924,"STNWG",2,"F","E","3","01101    0    0    0"
"40094",3.199,0.6598220397,"1",1,14276.75,"STNWG",1,"F","C","5","01101    0    0    0"
"40109",0.54,0.5941136208,"1",1,200.00999451,"HBACK",4,"F","A","2","01101    0    0    0"
"40110",1.74,0.8186173853,"1",1,200,"SEDAN",2,"M","A","3","01101    0    0    0"
"40116",3.5,0.6570841889,"1",1,639.30999947,"STNWG",1,"F","A","4","01101    0    0    0"
"40117",2.6,0.6598220397,"1",1,390,"HDTOP",3,"M","F","2","01101    0    0    0"
"40155",1.18,0.8186173853,"1",1,1166.1299992,"HBACK",2,"F","A","2","01101    0    0    0"
"40163",2.43,0.8186173853,"1",1,732.86999893,"SEDAN",1,"F","E","6","01101    0    0    0"
"40173",2.14,0.3586584531,"1",1,7571.719986,"SEDAN",3,"M","A","3","01101    0    0    0"
"40210",5.7,0.6570841889,"1",1,502.5,"STNWG",1,"M","F","1","01101    0    0    0"
"40242",2.31,0.6707734428,"1",1,511.21999931,"HBACK",1,"M","C","3","01101    0    0    0"
"40250",1.36,0.6707734428,"1",1,3413.8499985,"HBACK",3,"F","F","3","01101    0    0    0"
"40257",0.36,0.6570841889,"1",1,530,"HBACK",4,"F","E","3","01101    0    0    0"
"40300",0.73,0.7446954141,"1",1,6132.6699982,"HBACK",4,"M","C","4","01101    0    0    0"
"40304",1.2,0.7446954141,"1",1,200,"HBACK",2,"F","A","6","01101    0    0    0"
"40308",0.95,0.7446954141,"1",1,200,"SEDAN",4,"F","C","5","01101    0    0    0"
"40319",1.15,0.7446954141,"1",1,4285.6399994,"SEDAN",3,"M","A","4","01101    0    0    0"
"40329",1.99,0.7446954141,"1",1,569.5,"SEDAN",2,"M","C","6","01101    0    0    0"
"40337",1.34,0.4736481862,"1",1,1697.6599998,"HBACK",2,"F","D","5","01101    0    0    0"
"40346",0.95,0.6570841889,"1",2,1487.7299976,"SEDAN",4,"F","A","4","01101    0    0    0"
"40356",1.15,0.6570841889,"1",1,853.22999954,"COUPE",3,"M","A","3","01101    0    0    0"
"40358",0.79,0.2874743326,"1",1,9737.039978,"HBACK",3,"F","D","3","01101    0    0    0"
"40392",1.12,0.2272416153,"1",1,353.76999998,"HBACK",3,"F","B","5","01101    0    0    0"
"40396",1.74,0.9883641342,"1",1,200,"HBACK",2,"M","A","3","01101    0    0    0"
"40438",1.05,0.9993155373,"1",1,346.61999989,"PANVN",4,"M","B","5","01101    0    0    0"
"40439",0.44,0.334017796,"1",1,329.9199996,"HBACK",4,"F","B","6","01101    0    0    0"
"40451",1.42,0.1834360027,"1",1,8986.1799622,"HBACK",2,"M","A","4","01101    0    0    0"
"40455",1.49,0.501026694,"1",1,1008.3199997,"SEDAN",3,"F","B","4","01101    0    0    0"
"40468",0.82,0.7419575633,"1",1,829.00999832,"HBACK",4,"F","C","6","01101    0    0    0"
"40471",1.48,0.7419575633,"1",1,2033.5,"MIBUS",4,"M","A","5","01101    0    0    0"
"40478",0.95,0.7419575633,"1",1,415.64999962,"SEDAN",4,"F","C","6","01101    0    0    0"
"40480",0.8,0.8158795346,"1",1,1912.4899979,"UTE",4,"M","F","2","01101    0    0    0"
"40498",0.48,0.7419575633,"1",1,339.37999964,"HBACK",4,"F","D","3","01101    0    0    0"
"40537",2.38,0.4572210814,"1",1,200,"SEDAN",1,"M","B","5","01101    0    0    0"
"40558",1.65,0.6461327858,"1",1,200,"SEDAN",2,"F","E","2","01101    0    0    0"
"40563",1.03,0.4572210814,"1",1,2857.5899963,"SEDAN",3,"F","C","6","01101    0    0    0"
"40574",1.01,0.6543463381,"1",1,1018.1999989,"SEDAN",4,"M","A","4","01101    0    0    0"
"40578",1.26,0.6543463381,"1",1,6946.4599915,"HBACK",2,"F","B","5","01101    0    0    0"
"40579",1.89,0.9226557153,"1",1,1193.8299999,"HBACK",2,"F","D","3","01101    0    0    0"
"40580",2.23,0.9911019849,"1",2,1975.4099998,"TRUCK",1,"M","F","3","01101    0    0    0"
"40586",1,0.0328542094,"1",1,3431.8899994,"SEDAN",3,"F","A","6","01101    0    0    0"
"40588",2.23,0.9911019849,"1",1,353.76999998,"TRUCK",1,"M","F","3","01101    0    0    0"
"40594",1.68,0.3832991102,"1",1,200,"SEDAN",2,"F","B","5","01101    0    0    0"
"40610",4.5,0.9664613279,"1",1,2925.7899933,"STNWG",1,"M","E","5","01101    0    0    0"
"40636",1.29,0.9664613279,"1",1,353.76999998,"HBACK",2,"F","D","4","01101    0    0    0"
"40653",1.28,0.386036961,"1",1,289.08999991,"HBACK",2,"F","C","3","01101    0    0    0"
"40670",1.68,0.0547570157,"1",1,8657.9599609,"UTE",4,"M","E","1","01101    0    0    0"
"40698",3.04,0.925393566,"1",1,4782.1099854,"STNWG",3,"M","D","3","01101    0    0    0"
"40703",1.22,0.4490075291,"1",1,531.0899992,"STNWG",4,"F","C","4","01101    0    0    0"
"40723",1.75,0.4517453799,"1",1,200,"SEDAN",2,"F","B","6","01101    0    0    0"
"40757",0.46,0.4462696783,"1",1,465.88999939,"SEDAN",4,"F","A","6","01101    0    0    0"
"40782",1.35,0.4982888433,"1",1,200,"HBACK",1,"F","B","3","01101    0    0    0"
"40786",0.82,0.4517453799,"1",1,384.13999987,"HBACK",3,"M","D","3","01101    0    0    0"
"40812",1.56,0.4517453799,"1",1,639.55999947,"SEDAN",2,"M","E","6","01101    0    0    0"
"40845",2.09,0.5475701574,"1",1,452.46999931,"STNWG",3,"M","E","2","01101    0    0    0"
"40848",0.54,0.4572210814,"1",1,2852.6499939,"HBACK",4,"F","B","4","01101    0    0    0"
"40849",1.63,0.4490075291,"1",1,728,"HBACK",2,"F","B","3","01101    0    0    0"
"40851",1.91,0.5503080082,"1",1,353.76999998,"STNWG",4,"M","A","3","01101    0    0    0"
"40869",3.17,0.0465434634,"1",1,3226.5399933,"STNWG",1,"F","A","4","01101    0    0    0"
"40881",1.57,0.4517453799,"1",1,294.59000015,"SEDAN",2,"F","A","3","01101    0    0    0"
"40906",0.9,0.6516084873,"1",1,1032.3799992,"HBACK",3,"M","B","1","01101    0    0    0"
"40929",2.27,0.925393566,"1",1,1118.6999989,"MIBUS",3,"F","C","4","01101    0    0    0"
"40952",0.8,0.3969883641,"1",1,200,"HBACK",3,"F","D","5","01101    0    0    0"
"40988",1.46,0.9691991786,"1",1,423,"UTE",4,"M","D","4","01101    0    0    0"
"41000",2.71,0.5311430527,"1",1,2886.7199936,"STNWG",3,"F","F","3","01101    0    0    0"
"41019",2.71,0.8706365503,"1",2,1278.5799994,"STNWG",3,"M","B","3","01101    0    0    0"
"41026",1.65,0.6160164271,"1",1,988.70999908,"HBACK",2,"F","C","3","01101    0    0    0"
